页面区域,源素材,运行素材,素材用途,是否透明化,是否裁剪或拆分,备注
登录背景,auth_login_register_page_assets/auth_page_assets/backgrounds/auth_login_bg.png,static/auth/auth_login_bg.png,登录页背景,否,否,完整背景不裁剪
注册背景,auth_login_register_page_assets/auth_page_assets/backgrounds/auth_register_bg.png,static/auth/auth_register_bg.png,注册页背景,否,否,完整背景不裁剪
登录吉祥物,auth_login_register_page_assets/auth_page_assets/mascots/auth_login_mascot_cat.png,static/auth/auth_login_mascot_cat.png,登录页顶部吉祥物,是,否,透明 PNG 直接复制
注册吉祥物,auth_login_register_page_assets/auth_page_assets/mascots/auth_register_mascot_cat.png,static/auth/auth_register_mascot_cat.png,注册页顶部吉祥物,是,否,透明 PNG 直接复制
登录吉祥物紧画布,auth_login_register_page_assets/auth_page_assets/mascots/auth_login_mascot_cat.png,static/auth/auth_login_mascot_cat_fitted.png,登录页实际运行吉祥物,是,是,裁掉过大透明边，避免 aspectFit 后主体过小
注册吉祥物紧画布,auth_login_register_page_assets/auth_page_assets/mascots/auth_register_mascot_cat.png,static/auth/auth_register_mascot_cat_fitted.png,注册页实际运行吉祥物,是,是,裁掉过大透明边，避免 aspectFit 后主体过小
返回图标,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/icon_back.png,自定义导航返回,是,是,从透明图标表拆分
用户图标,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/icon_user.png,用户名输入图标,是,是,从透明图标表拆分
昵称图标,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/icon_profile_card.png,昵称输入图标,是,是,从透明图标表拆分
密码图标,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/icon_lock.png,密码输入图标,是,是,从透明图标表拆分
确认密码图标,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/icon_lock_check.png,确认密码输入图标,是,是,从透明图标表拆分
显示密码图标,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/icon_eye.png,显示密码按钮,是,是,从透明图标表拆分
隐藏密码图标,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/icon_eye_off.png,隐藏密码按钮,是,是,从透明图标表拆分
爪印装饰,auth_login_register_page_assets/auth_page_assets/icons/auth_icon_sheet.png,static/auth/decor_paw.png,备用装饰,是,是,从透明图标表拆分
